full_title,url_stub,issn,product_id,change_history
Academic Pediatrics,academic-pediatrics,18762859,7802,Formerly known as Ambulatory Pediatrics
Academic Radiology,academic-radiology,10766332,13351,
Accident Analysis & Prevention,accident-analysis-and-prevention,14575,336,
"Accounting, Organizations and Society",accounting-organizations-and-society,3613682,486,
Acta Astronautica,acta-astronautica,945765,310,
Acta Biomaterialia,acta-biomaterialia,17427061,4067,
Acta Colombiana de Cuidado Intensivo,acta-colombiana-de-cuidado-intensivo,1227262,16845,
Acta Ecologica Sinica,acta-ecologica-sinica,18722032,8574,
Acta Histochemica,acta-histochemica,651281,10000,
Acta Materialia,acta-materialia,13596454,221,Formerly part of Acta Metallurgica et Materialia; Incorporating Nanostructured Materials
Acta Oecologica,acta-oecologica,1146609X,9000,
Acta Orthopaedica et Traumatologica Turcica,acta-orthopaedica-et-traumatologica-turcica,1017995X,18361,
Acta Otorrinolaringológica Española,acta-otorrinolaringologica-espanola,16519,15720,
Acta Pharmaceutica Sinica B,acta-pharmaceutica-sinica-b,22113835,8775,
Acta Psychologica,acta-psychologica,16918,5251,
Acta Tropica,acta-tropica,0001706X,5083,
Actas Dermo-Sifiliográficas,actas-dermo-sifiliograficas,17310,15717,
Actas Urológicas Españolas,actas-urologicas-espanolas,2104806,15762,
Actualités Pharmaceutiques,actualites-pharmaceutiques,5153700,9076,
Ad Hoc Networks,ad-hoc-networks,15708705,5481,
Addictive Behaviors,addictive-behaviors,3064603,471,
Addictive Behaviors Reports,addictive-behaviors-reports,23528532,18120,
Additive Manufacturing,additive-manufacturing,22148604,17059,
Additives for Polymers,additives-for-polymers,3063747,2061,
Advanced Drug Delivery Reviews,advanced-drug-delivery-reviews,0169409X,5000,
Advanced Engineering Informatics,advanced-engineering-informatics,14740346,2007,Formerly known as Artificial Intelligence in Engineering
Advanced Industrial and Engineering Polymer Research,advanced-industrial-and-engineering-polymer-research,25425048,18401,
Advanced Powder Technology,advanced-powder-technology,9218831,8668,
Advances in Accounting,advances-in-accounting,8826110,5609,Incorporating Advances in International Accounting
Advances in Anesthesia,advances-in-anesthesia,7376146,13139,
Advances in Applied Mathematics,advances-in-applied-mathematics,1968858,12001,
Advances in Biological Regulation,advances-in-biological-regulation,22124926,427,Formerly known as Advances in Enzyme Regulation
Advances in Biomarker Sciences and Technology,advances-in-biomarker-sciences-and-technology,25431064,18403,
Advances in Chronic Kidney Disease,advances-in-chronic-kidney-disease,15485595,13265,Formerly known as Advances in Renal Replacement Therapy
Advances in Climate Change Research,advances-in-climate-change-research,16749278,18115,
Advances in Colloid and Interface Science,advances-in-colloid-and-interface-science,18686,5136,
Advances in Cosmetic Surgery,advances-in-cosmetic-surgery,25424327,18920,
Advances in Engineering Software,advances-in-engineering-software,9659978,2000,Formerly known as Advances in Engineering Software and Workstations; Incorporating Computing Systems in Engineering
Advances in Family Practice Nursing,advances-in-family-practice-nursing,2589420X,18928,
Advances in Integrative Medicine,advances-in-integrative-medicine,22129588,10154,
Advances in Life Course Research,advances-in-life-course-research,10402608,5617,
Advances in Mathematics,advances-in-mathematics,18708,12005,
Advances in Medical Sciences,advances-in-medical-sciences,18961126,11016,
Advances in Molecular Pathology,advances-in-molecular-pathology,25894080,18924,
Advances in Ophthalmology and Optometry,advances-in-ophthalmology-and-optometry,24521760,18867,
Advances in Pediatrics,advances-in-pediatrics,653101,13279,
Advances in Radiation Oncology,advances-in-radiation-oncology,24521094,18873,
Advances in Small Animal Medicine and Surgery,advances-in-small-animal-medicine-and-surgery,10417826,13001,
Advances in Space Research,advances-in-space-research,2731177,644,
Advances in Surgery,advances-in-surgery,653411,13142,
Advances in Water Resources,advances-in-water-resources,3091708,2001,
Aeolian Research,aeolian-research,18759637,8639,
Aerospace Science and Technology,aerospace-science-and-technology,12709638,9001,
AEU - International Journal of Electronics and Communications,aeu-international-journal-of-electronics-and-communications,14348411,10029,
African Journal of Emergency Medicine,african-journal-of-emergency-medicine,2211419X,8770,
Ageing Research Reviews,ageing-research-reviews,15681637,5464,
Aggression and Violent Behavior,aggression-and-violent-behavior,13591789,1001,
Agri Gene,agri-gene,23522151,18859,
Agricultural and Forest Meteorology,agricultural-and-forest-meteorology,1681923,5320,Formerly known as Agricultural Meteorology
Agricultural Systems,agricultural-systems,0308521X,2002,
Agricultural Water Management,agricultural-water-management,3783774,5085,
"Agriculture, Ecosystems & Environment",agriculture-ecosystems-and-environment,1678809,5086,Incorporating Agriculture and Environment and Agro-Ecosystems
Ain Shams Engineering Journal,ain-shams-engineering-journal,20904479,8727,
Air Medical Journal,air-medical-journal,1067991X,13163,Formerly known as Journal of Air Medical Transport
AKCE International Journal of Graphs and Combinatorics,akce-international-journal-of-graphs-and-combinatorics,9728600,18231,
Alcohol,alcohol,7418329,7500,
Alexandria Engineering Journal,alexandria-engineering-journal,11100168,8731,
Algal Research,algal-research,22119264,8794,
Allergologia et Immunopathologia,allergologia-et-immunopathologia,3010546,15754,
Allergology International,allergology-international,13238930,18067,
Alter,alter,18750672,15851,
Alzheimer's & Dementia,alzheimers-and-dementia,15525260,13371,
"Alzheimer's & Dementia: Diagnosis, Assessment & Disease Monitoring",alzheimers-and-dementia-diagnosis-assessment-and-disease-monitoring,23528729,18833,
Alzheimer's & Dementia: Translational Research & Clinical Interventions,alzheimers-and-dementia-translational-research-and-clinical-interventions,23528737,18834,
American Heart Journal,american-heart-journal,28703,13240,
The American Journal of Cardiology,the-american-journal-of-cardiology,29149,7586,
The American Journal of Emergency Medicine,the-american-journal-of-emergency-medicine,7356757,13226,
The American Journal of Geriatric Psychiatry,the-american-journal-of-geriatric-psychiatry,10647481,14116,
The American Journal of Human Genetics,the-american-journal-of-human-genetics,29297,7813,
American Journal of Infection Control,american-journal-of-infection-control,1966553,13170,
American Journal of Kidney Diseases,american-journal-of-kidney-diseases,2726386,13229,
The American Journal of the Medical Sciences,the-american-journal-of-the-medical-sciences,29629,18851,
The American Journal of Medicine,the-american-journal-of-medicine,29343,7587,
The American Journal of Medicine Supplements,the-american-journal-of-medicine-supplements,15482766,7777,
American Journal of Obstetrics and Gynecology,american-journal-of-obstetrics-and-gynecology,29378,13246,
American Journal of Obstetrics & Gynecology MFM,american-journal-of-obstetrics-and-gynecology-mfm,25899333,18938,
American Journal of Ophthalmology,american-journal-of-ophthalmology,29394,7582,
American Journal of Ophthalmology Case Reports,american-journal-of-ophthalmology-case-reports,24519936,18854,
American Journal of Orthodontics and Dentofacial Orthopedics,american-journal-of-orthodontics-and-dentofacial-orthopedics,8895406,13027,Formerly known as American Journal of Orthodontics
American Journal of Otolaryngology,american-journal-of-otolaryngology,1960709,13046,
The American Journal of Pathology,the-american-journal-of-pathology,29440,14039,
American Journal of Preventive Medicine,american-journal-of-preventive-medicine,7493797,7689,
The American Journal of Surgery,the-american-journal-of-surgery,29610,7588,
Ampersand,ampersand,22150390,10185,
Anaerobe,anaerobe,10759964,12695,
Anaesthesia Critical Care & Pain Medicine,anaesthesia-critical-care-and-pain-medicine,23525568,9011,Formerly known as Annales Françaises d'Anesthésie et de Réanimation
Anaesthesia & Intensive Care Medicine,anaesthesia-and-intensive-care-medicine,14720299,4263,
Anales de Cirugía Vascular,anales-de-cirugia-vascular,11302542,15704,
Anales de Pediatría,anales-de-pediatria,16954033,15711,
Anales de Pediatria Continuada,anales-de-pediatria-continuada,16962818,15755,
Analytic Methods in Accident Research,analytic-methods-in-accident-research,22136657,10159,
Analytica Chimica Acta,analytica-chimica-acta,32670,5137,
Analytica Chimica Acta: X,analytica-chimica-acta-x,25901346,18459,
Analytical Biochemistry,analytical-biochemistry,32697,12002,
Anesthésie & Réanimation,anesthesie-and-reanimation,23525800,16356,
Anesthesiology Clinics,anesthesiology-clinics,19322275,13047,Formerly known as Anesthesiology Clinics of North America
Animal Behaviour,animal-behaviour,33472,12602,Formerly known as The British Journal of Animal Behaviour; Incorporating Animal Behaviour Monographs
Animal Feed Science and Technology,animal-feed-science-and-technology,3778401,5088,
Animal Nutrition,animal-nutrition,24056545,18174,
Animal Reproduction Science,animal-reproduction-science,3784320,5089,
Annales de Cardiologie et d'Angéiologie,annales-de-cardiologie-et-dangeiologie,33928,9082,
Annales de Chirurgie Plastique Esthétique,annales-de-chirurgie-plastique-esthetique,2941260,9084,
Annales de Dermatologie et de Vénéréologie,annales-de-dermatologie-et-de-venereologie,1519638,15170,
Annales d'Endocrinologie,annales-dendocrinologie,34266,15180,
Annales françaises d’Oto-rhino-laryngologie et de Pathologie Cervico-faciale,annales-francaises-doto-rhino-laryngologie-et-de-pathologie-cervico-faciale,18797261,15230,Formerly known as Annales d'Otolaryngologie et de Chirurgie Cervico-faciale
"Annales de l'Institut Henri Poincaré C, Analyse non linéaire",annales-de-linstitut-henri-poincare-c-analyse-non-lineaire,2941449,9006,
"Annales Médico-psychologiques, revue psychiatrique",annales-medico-psychologiques,34487,9107,
Annales de Paléontologie,annales-de-paleontologie,7533969,9008,
Annales de Pathologie,annales-de-pathologie,2426498,15130,
Annales Pharmaceutiques Françaises,annales-pharmaceutiques-francaises,34509,15260,
Annals of Agricultural Sciences,annals-of-agricultural-sciences,5701783,8778,
"Annals of Allergy, Asthma & Immunology",annals-of-allergy-asthma-and-immunology,10811206,14037,
Annals of Anatomy - Anatomischer Anzeiger,annals-of-anatomy,9409602,10030,
Annals of Diagnostic Pathology,annals-of-diagnostic-pathology,10929134,13057,
Annals of Emergency Medicine,annals-of-emergency-medicine,1960644,13239,Formerly known as Journal of the American College of Emergency Physicians
Annals of Epidemiology,annals-of-epidemiology,10472797,7601,
Annals of Hepatology,annals-of-hepatology,16652681,30153,
Annals of Medicine and Surgery,annals-of-medicine-and-surgery,20490801,17038,
Annals of Nuclear Energy,annals-of-nuclear-energy,3064549,217,Formerly known as Annals of Nuclear Science and Engineering
Annals of Physical and Rehabilitation Medicine,annals-of-physical-and-rehabilitation-medicine,18770657,9009,Formerly known as Annales de Réadaptation et de Médicine Physique
Annals of Physics,annals-of-physics,34916,12006,
Annals of Pure and Applied Logic,annals-of-pure-and-applied-logic,1680072,5253,Formerly known as Annals of Mathematical Logic
The Annals of Thoracic Surgery,the-annals-of-thoracic-surgery,34975,7610,
Annals of Tourism Research,annals-of-tourism-research,1607383,689,
Annals of Vascular Surgery,annals-of-vascular-surgery,8905096,13421,
Annual Reviews in Control,annual-reviews-in-control,13675788,429,Formerly known as Annual Review in Automatic Programming
Ansiedad y Estrés,ansiedad-y-estres,11347937,16432,
Anthropocene,anthropocene,22133054,10148,
L'Anthropologie,lanthropologie,35521,9087,
Antiviral Research,antiviral-research,1663542,5001,
Appetite,appetite,1956663,12633,
Applied Acoustics,applied-acoustics,0003682X,2003,
Applied Animal Behaviour Science,applied-animal-behaviour-science,1681591,5090,Formerly known as Applied Animal Ethology
Applied Animal Science,applied-animal-science,25902865,18871,Formerly Known as The Professional Animal Scientist
Applied Catalysis A: General,applied-catalysis-a-general,0926860X,5139,Formerly part of Applied Catalysis
Applied Catalysis B: Environmental,applied-catalysis-b-environmental,9263373,5140,Formerly part of Applied Catalysis
Applied Clay Science,applied-clay-science,1691317,5321,
Applied and Computational Harmonic Analysis,applied-and-computational-harmonic-analysis,10635203,12003,
Applied Computing and Informatics,applied-computing-and-informatics,22108327,8742,
Applied Energy,applied-energy,3062619,2004,
Applied Ergonomics,applied-ergonomics,36870,3001,
Applied Geochemistry,applied-geochemistry,8832927,768,
Applied Geography,applied-geography,1436228,3002,
Applied Materials Today,applied-materials-today,23529407,18144,
Applied Mathematical Modelling,applied-mathematical-modelling,0307904X,7604,
Applied Mathematics and Computation,applied-mathematics-and-computation,963003,7612,
Applied Mathematics Letters,applied-mathematics-letters,8939659,843,
Applied Numerical Mathematics,applied-numerical-mathematics,1689274,5254,
Applied Nursing Research,applied-nursing-research,8971897,13158,
Applied Ocean Research,applied-ocean-research,1411187,2005,
Applied Radiation and Isotopes,applied-radiation-and-isotopes,9698043,228,Formerly known as International Journal of Radiation Applications and Instrumentation. Part A. Applied Radiation and Isotopes
Applied Soft Computing,applied-soft-computing,15684946,5434,
Applied Soil Ecology,applied-soil-ecology,9291393,5091,
Applied Surface Science,applied-surface-science,1694332,5191,Formerly known as Applications of Surface Science
Applied Thermal Engineering,applied-thermal-engineering,13594311,630,Formerly known as Heat Recovery Systems and CHP
Apunts. Medicina de l’Esport,apunts-medicina-de-lesport,18866581,15764,
Aquacultural Engineering,aquacultural-engineering,1448609,2006,
Aquaculture,aquaculture,448486,5092,Incorporating Annual Review of Fish Diseases
Aquaculture and Fisheries,aquaculture-and-fisheries,2468550X,18365,
Aquaculture Reports,aquaculture-reports,23525134,18081,
Aquatic Botany,aquatic-botany,3043770,5093,
Aquatic Toxicology,aquatic-toxicology,0166445X,5094,
Arab Journal of Gastroenterology,arab-journal-of-gastroenterology,16871979,5622,
Arab Journal of Mathematical Sciences,arab-journal-of-mathematical-sciences,13195166,8748,
Arabian Journal of Chemistry,arabian-journal-of-chemistry,18785352,8695,
Archaeological Research in Asia,archaeological-research-in-asia,23522267,18065,
Archives of Biochemistry and Biophysics,archives-of-biochemistry-and-biophysics,39861,12007,
Archives of Cardiovascular Diseases,archives-of-cardiovascular-diseases,18752136,15568,
Archives of Cardiovascular Diseases Supplements,archives-of-cardiovascular-diseases-supplements,18786480,15863,
Archives of Civil and Mechanical Engineering,archives-of-civil-and-mechanical-engineering,16449665,11005,
Archives of Gerontology and Geriatrics,archives-of-gerontology-and-geriatrics,1674943,8003,
Archives des Maladies du Cœur et des Vaisseaux - Pratique,archives-des-maladies-du-cur-et-des-vaisseaux-pratique,1261694X,15852,
Archives des Maladies Professionnelles et de l’Environnement,archives-des-maladies-professionnelles-et-de-lenvironnement,17758785,15360,
Archives of Medical Research,archives-of-medical-research,1884409,7608,
Archives of Oral Biology,archives-of-oral-biology,39969,203,
Archives de Pédiatrie,archives-de-pediatrie,0929693X,9014,
Archives of Physical Medicine and Rehabilitation,archives-of-physical-medicine-and-rehabilitation,39993,13310,
Archives of Psychiatric Nursing,archives-of-psychiatric-nursing,8839417,13191,
Archives of Rehabilitation Research and Clinical Translation,archives-of-rehabilitation-research-and-clinical-translation,25901095,30062,
Archivos de Bronconeumología,archivos-de-bronconeumologia,3002896,15701,
Archivos de la Sociedad Española de Oftalmología,archivos-de-la-sociedad-espanola-de-oftalmologia,3656691,15765,
Array,array,25900056,30002,
Arthroplasty Today,arthroplasty-today,23523441,18761,
Arthropod Structure & Development,arthropod-structure-and-development,14678039,356,Formerly known as International Journal of Insect Morphology and Embryology
Arthroscopy: the Journal of Arthroscopic & Related Surgery,arthroscopy,7498063,13049,
"Arthroscopy, Sports Medicine, and Rehabilitation",arthroscopy-sports-medicine-and-rehabilitation,2666061X,30180,
Arthroscopy Techniques,arthroscopy-techniques,22126287,14121,
Artificial Intelligence,artificial-intelligence,43702,5255,
Artificial Intelligence in Agriculture,artificial-intelligence-in-agriculture,25897217,18439,
Artificial Intelligence in Medicine,artificial-intelligence-in-medicine,9333657,5095,
The Arts in Psychotherapy,the-arts-in-psychotherapy,1974556,833,Formerly known as Art Psychotherapy
"Asia-Pacific Journal of Sports Medicine, Arthroscopy, Rehabilitation and Technology",asia-pacific-journal-of-sports-medicine-arthroscopy-rehabilitation-and-technology,22146873,17054,
Asia Pacific Management Review,asia-pacific-management-review,10293132,18163,
Asian Journal of Pharmaceutical Sciences,asian-journal-of-pharmaceutical-sciences,18180876,17033,
Asian Journal of Psychiatry,asian-journal-of-psychiatry,18762018,6077,
The Asian Journal of Shipping and Logistics,the-asian-journal-of-shipping-and-logistics,20925212,10107,
Asian Journal of Surgery,asian-journal-of-surgery,10159584,8586,
Asian Journal of Urology,asian-journal-of-urology,22143882,18154,
Asian Nursing Research,asian-nursing-research,19761317,8651,
Assessing Writing,assessing-writing,10752935,7449,
Astronomy and Computing,astronomy-and-computing,22131337,18011,
Astroparticle Physics,astroparticle-physics,9276505,5192,
Atención Primaria,atencion-primaria,2126567,15721,
Atención Primaria Práctica,atencion-primaria-practica,26050730,16460,
Atherosclerosis,atherosclerosis,219150,8004,Formerly known as Journal of Atherosclerosis Research
Atherosclerosis Supplements,atherosclerosis-supplement,15675688,8140,
Atherosclerosis: X,atherosclerosis-x,25901354,18453,
Atlas of the Oral and Maxillofacial Surgery Clinics,atlas-of-the-oral-and-maxillofacial-surgery-clinics-of-north-america,10613315,13032,
Atmospheric Environment,atmospheric-environment,13522310,246,Incorporating Atmospheric Environment. Part A. General Topics and Atmospheric Environment. Part B. Urban Atmosphere
Atmospheric Environment: X,atmospheric-environment-x,25901621,18467,
Atmospheric Pollution Research,atmospheric-pollution-research,13091042,18277,
Atmospheric Research,atmospheric-research,1698095,5322,
Atomic Data and Nuclear Data Tables,atomic-data-and-nuclear-data-tables,0092640X,12004,
Auris Nasus Larynx,auris-nasus-larynx,3858146,8060,
Australasian Emergency Care,australasian-emergency-care,2588994X,4082,Formerly known as Australasian Emergency Nursing Journal
Australasian Marketing Journal,australasian-marketing-journal,14413582,4120,Formerly known as Asia-Australia Marketing Journal
Australian Critical Care,australian-critical-care,10367314,4101,Formerly known as Confederation of Australian Critical Care Nurses Journal
Autoimmunity Reviews,autoimmunity-reviews,15689972,5467,
Automatica,automatica,51098,270,
Automation in Construction,automation-in-construction,9265805,5256,
Autonomic Neuroscience,autonomic-neuroscience-basic-and-clinical,15660702,5062,Formerly known as Journal of the Autonomic Nervous System
